Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
R1_ARAGON_PRADO,1_0_2_1FE_EA76_1_CE40000_0_0_0.png,r1aragonprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ARAGON_PRADO,1_0_2_1FE_EA79_1_CE40000_0_0_0.png,r1aragonprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ASTURI_PRADO,1_0_2_19A_EA76_1_CE40000_0_0_0.png,r1asturiprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ASTURI_TORRE,1_0_2_19A_EA79_1_CE40000_0_0_0.png,r1asturitorre.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_AVILA__PRADO,1_0_2_348_EA76_1_CE40000_0_0_0.png,r1avilaprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_BALEAR_PRADO,1_0_2_E6_EA76_1_CE40000_0_0_0.png,r1balearprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_BALEAR_PRADO,1_0_2_E6_EA79_1_CE40000_0_0_0.png,r1balearprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_BILBAO_PRADO,1_0_2_460_EA76_1_CE40000_0_0_0.png,r1bilbaoprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_BURGOS_PRADO,1_0_2_352_EA76_1_CE40000_0_0_0.png,r1burgosprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CADIZ__PRADO,1_0_2_26C_EA79_1_CE40000_0_0_0.png,r1cadizprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CANTAB_PRADO,1_0_2_14A_EA76_1_CE40000_0_0_0.png,r1cantabprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CANTAB_TORRE,1_0_2_14A_EA79_1_CE40000_0_0_0.png,r1cantabtorre.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
